"Name of test/Name of algoritam","Merge sort not recursive","Shellsort","Bublesort","Quicksort"
"zeros",0.004803352,0.002889406,0.000132426,0.006380665
"random number test",0.000753570,0.001786763,0.095161917,0.000729291
"LESS",0.006149130,0.017444785,12.053040439,0.009105989
"other random file",0.000758954,0.001649306,0.224876495,0.001134143
"other random file 2",0.009462616,0.026913218,29.776886068,0.015905542
"sorted arr",0.001279546,0.000837866,0.000046721,0.001924877
"sorted arr big",0.545726428,0.164266506,0.005779625,0.319472575
"reverse sorted arr ",0.002032451,0.002037283,4.329999572,0.002949617
"reverse sorted arr big dadasdasdasdas",0.001487698,0.001935911,4.212702114,0.002356198
